,model,question,solution,answer,accuracy,solvability,appropriateness,mac
2550,finetuned_llama,Spiderman has 200 spider webs. He uses 20 spider webs per day. How many days will he have to web-sling his way around the city?,"def solution():
    #Spiderman has 200 spider webs
    spider_webs_initial = 200
    #He uses 20 spider webs per day
    spider_webs_per_day = 20
    #The answer is
    result = spider_webs_initial / spider_webs_per_day
    return result",10.0,1.0,1,1.0,1
2551,finetuned_llama,"In a 3-point shooting contest, Steph Curry made 25 shots. He made 12 shots in the first round, 7 in the second round, and the rest in the third round. How many shots did he make in the third round?","def solution():
    #Steph Curry made 25 shots in total
    total_shots = 25
    #He made 12 shots in the first round
    shots_first_round = 12
    #He made 7 shots in the second round
    shots_second_round = 7
    #The shots he made in the third round is
    shots_third_round = total_shots - shots_first_round - shots_second_round
    return shots_third_round",6,1.0,1,1.0,1
2552,finetuned_llama,There are 3000 people in the stadium. 1/6 of the people in the stadium are the cheerleaders. 1/3 of the cheerleaders are on the field. How many cheerleaders are on the field?,"def solution():
    #Total number of people in the stadium
    total_people = 3000
    #1/6 of the people in the stadium are the cheerleaders
    cheerleaders = total_people / 6
    #1/3 of the cheerleaders are on the field
    field_cheerleaders = cheerleaders / 3
    return field_cheerleaders",166.66666666666666,1.0,1,0.0,0
2553,finetuned_llama,A pizza is cut into 8 slices. 3 of the slices are topped with mushrooms. 2 of the slices are topped with onions. 1 of the slices is topped with mushrooms and onions. 2 of the slices have no toppings. How many slices of pizza are topped with mushrooms or onions?,"def solution():
    #A pizza is cut into 8 slices
    slices = 8
    #3 of the slices are topped with mushrooms
    mushrooms = 3
    #2 of the slices are topped with onions
    onions = 2
    #1 of the slices is topped with mushrooms and onions
    both = 1
    #2 of the slices have no toppings
    none = 2
    #The answer is
    result = mushrooms + onions + both - none
    return result",4,1.0,1,1.0,1
2554,finetuned_llama,"Wonder Woman is 5'11"" and her Invisible Jet is 20' long.  How many Wonder Women could lie end-to-end in the Invisible Jet?","def solution():
    #Wonder Woman is 5'11""
    wonder_woman_height = 5 * 12 + 11
    #The Invisible Jet is 20' long
    invisible_jet_length = 20 * 12
    #The answer is
    result = invisible_jet_length / wonder_woman_height
    return result",3.380281690140845,1.0,1,1.0,1
2555,finetuned_llama,"3000 airplanes, 2000 of which are passenger airplanes, were built in a year. 1000 of the passenger airplanes were sold. How many airplanes were not sold?","def solution():
    #Total airplanes built
    total_airplanes = 3000
    #Passenger airplanes built
    passenger_airplanes = 2000
    #Passenger airplanes sold
    sold_airplanes = 1000
    #Airplanes not sold
    not_sold = total_airplanes - sold_airplanes
    return not_sold",2000,,0,0.0,0
2556,finetuned_llama,"A candy store has 2000 candy canes. 800 of the candy canes are strawberry, 400 are lime, 300 are mango, and 500 are pineapple. How many candy canes are not strawberry, lime, mango, or pineapple?","def solution():
    #Total candy canes
    total_candy_canes = 2000
    #Candy canes of each flavor
    strawberry = 800
    lime = 400
    mango = 300
    pineapple = 500
    #Candy canes that are not strawberry, lime, mango, or pineapple
    other_flavors = total_candy_canes - strawberry - lime - mango - pineapple
    return other_flavors",0,1.0,1,1.0,1
2557,finetuned_llama,"Steph Curry, the point guard for the Golden State Warriors, has 1000 3-point shots. He has to shoot 500 of them to get to the 3-point contest. He sinks 400 of them. How many 3-point shots does he have left?","def solution():
    #Steph Curry has 1000 3-point shots
    three_point_shots = 1000
    #He has to shoot 500 of them
    shots_to_shoot = 500
    #He sinks 400 of them
    sinks = 400
    #The answer is
    result = three_point_shots - shots_to_shoot + sinks
    return result",900,,0,0.0,0
2558,finetuned_llama,"In a Fortnite match, 2500 players are dropped on the island. 500 players are killed in the first 5 minutes. 2000 players are killed in the next 20 minutes. 750 players are killed in the next 20 minutes. How many players are left?","def solution():
    #2500 players are dropped on the island
    players_initial = 2500
    #500 players are killed in the first 5 minutes
    players_killed_5_minutes = 500
    #2000 players are killed in the next 20 minutes
    players_killed_20_minutes = 2000
    #750 players are killed in the next 20 minutes
    players_killed_20_minutes_2 = 750
    #The answer is
    result = players_initial - players_killed_5_minutes - players_killed_20_minutes - players_killed_20_minutes_2
    return result",-750,,0,0.0,0
2559,finetuned_llama,"In the Harry Potter series, the 4th, 5th, and 6th books have 752, 870, and 608 pages, respectively. How many more pages are in the 5th book than the 4th and 6th books combined?","def solution():
    #The 4th, 5th, and 6th books have 752, 870, and 608 pages, respectively
    book4_pages = 752
    book5_pages = 870
    book6_pages = 608
    #The 5th book has
    more_pages = book5_pages - (book4_pages + book6_pages)
    return more_pages",-490,,0,0.0,0
2560,finetuned_llama,"Batman is 2400 days old. 1000 of those days, he was a toddler. 1/3 of the remaining days, he was a teenager. How many days has Batman been an adult?","def solution():
    #Batman is 2400 days old
    batman_days_old = 2400
    #1000 of those days, he was a toddler
    toddler_days = 1000
    #1/3 of the remaining days, he was a teenager
    teenager_days = (batman_days_old - toddler_days) / 3
    #The answer is
    adult_days = batman_days_old - toddler_days - teenager_days
    return adult_days",933.3333333333333,1.0,1,0.0,0
2561,finetuned_llama,"10000 years ago, there were 10000 dinosaurs. 9999 of them went extinct. 1000 years later, 1000 of the remaining dinosaurs also went extinct. How many dinosaurs are left?","def solution():
    #10000 years ago, there were 10000 dinosaurs
    dinosaurs_initial = 10000
    #9999 of them went extinct
    dinosaurs_extinct = 9999
    #1000 years later, 1000 of the remaining dinosaurs also went extinct
    dinosaurs_extinct_later = 1000
    #The answer is
    result = dinosaurs_initial - dinosaurs_extinct - dinosaurs_extinct_later
    return result",-999,,0,0.0,0
2562,finetuned_llama,"Steph Curry, the point guard for the Golden State Warriors, is the best 3-point shooter in the NBA. In a 2015-2016 season, he made 402 3-point shots. The 3-point shots were 33.6% of his total shots. How many total shots did he take that season?","def solution():
    #Steph Curry made 402 3-point shots
    three_point_shots = 402
    #3-point shots were 33.6% of his total shots
    total_shots_percentage = 33.6
    #The answer is
    result = three_point_shots / (total_shots_percentage / 100)
    return result",1196.4285714285713,1.0,1,0.0,0
2563,finetuned_llama,There are 5 Power Rangers. 2 of them are aliens. 1 of them is a robot. 1 of them is a gorilla. 1 of them is a human. How many of them are not human?,"def solution():
    #Total Power Rangers
    total_rangers = 5
    #Aliens
    aliens = 2
    #Robots
    robots = 1
    #Gorillas
    gorillas = 1
    #Humans
    humans = 1
    #Non-humans are aliens, robots and gorillas
    non_humans = aliens + robots + gorillas
    return non_humans",4,1.0,1,1.0,1
2564,finetuned_llama,4000 people are at a soccer game. 2000 of them are wearing the home team's jersey. 1500 of them are wearing the away team's jersey. 500 of them are wearing a jersey of a different team. How many people are not wearing a soccer jersey?,"def solution():
    #Total number of people at the game
    total_people = 4000
    #People wearing home team's jersey
    home_team = 2000
    #People wearing away team's jersey
    away_team = 1500
    #People wearing a jersey of a different team
    different_team = 500
    #People not wearing a soccer jersey
    no_jersey = total_people - home_team - away_team - different_team
    return no_jersey",0,1.0,1,1.0,1
2565,finetuned_llama,"A 25-yard pool is 1.25 fathoms deep. 
Each fathom is 6 feet. 
How many feet is the pool deep?","def solution():
    # 1 fathom is 6 feet
    fathom_to_feet = 6
    # 1 pool is 1.25 fathoms deep
    fathoms_deep = 1.25
    # The pool is
    feet_deep = fathoms_deep * fathom_to_feet
    return feet_deep",7.5,1.0,1,1.0,1
2566,finetuned_llama,The parking lot at the mall has 2000 parking spaces. 80% of the parking spaces are for cars and 20% of the parking spaces are for trucks. 1000 cars are parked in the mall. How many trucks are in the parking lot?,"def solution():
    #2000 is the total number of parking spaces
    total_parking_spaces = 2000
    #80% of the parking spaces are for cars and 20% of the parking spaces are for trucks
    car_parking_spaces = 0.8 * total_parking_spaces
    truck_parking_spaces = 0.2 * total_parking_spaces
    #1000 cars are parked in the mall
    cars_parked = 1000
    #The answer is
    trucks_parked = truck_parking_spaces - cars_parked
    return trucks_parked",-600.0,,0,0.0,0
2567,finetuned_llama,"Naruto has 1200 ryo. He spends 100 ryo on a new outfit, 200 ryo on a new weapon, and 400 ryo on a new scroll. How many ryo does he have left?","def solution():
    #Naruto started with 1200 ryo
    ryo_initial = 1200
    #He spent 100 ryo on a new outfit
    ryo_outfit = 100
    #200 ryo on a new weapon
    ryo_weapon = 200
    #400 ryo on a new scroll
    ryo_scroll = 400
    #The answer is
    result = ryo_initial - ryo_outfit - ryo_weapon - ryo_scroll
    return result",500,1.0,1,0.0,0
2568,finetuned_llama,"Naruto, Sasuke, and Sakura are in a three-way battle. Naruto has 300 chakra points, Sasuke has 400, and Sakura has 500. Sasuke and Sakura each use 200 chakra points to attack Naruto. How many chakra points does Naruto have left?","def solution():
    #Naruto has 300 chakra points
    naruto_chakra = 300
    #Sasuke and Sakura have 400 and 500 chakra points, respectively
    sasuke_chakra = 400
    sakura_chakra = 500
    #Sasuke and Sakura each use 200 chakra points to attack Naruto
    attack_chakra = 200
    #The answer is
    result = naruto_chakra - 2 * attack_chakra
    return result",-100,,0,0.0,0
2569,finetuned_llama,"There are 4 Ninja Turtles: Raphael, Michelangelo, Donatello, and Leonardo. 

Raphael has 4 sais, Michelangelo has 2 nunchucks, Donatello has 6 bo staffs, and Leonardo has 3 katanas. 

How many weapons do the Ninja Turtles have in total?","def solution():
    #Raphael has 4 sais
    raphael_sais = 4
    #Michelangelo has 2 nunchucks
    michelangelo_nunchucks = 2
    #Donatello has 6 bo staffs
    donatello_bo_staffs = 6
    #Leonardo has 3 katanas
    leonardo_katanas = 3
    #The answer is
    result = raphael_sais + michelangelo_nunchucks + donatello_bo_staffs + leonardo_katanas
    return result",15,1.0,1,0.0,0
2570,finetuned_llama,2500 strawberries are in 500 baskets. 100 baskets of strawberries are then shipped to a market. 250 strawberries are left in each basket. How many strawberries are left?,"def solution():
    #There were 2500 strawberries in 500 baskets
    strawberries_initial = 2500
    baskets_initial = 500
    #Each basket has
    strawberries_per_basket = strawberries_initial / baskets_initial
    #100 baskets of strawberries are shipped
    baskets_shipped = 100
    #250 strawberries are left in each basket
    strawberries_left_per_basket = 250
    #The answer is
    result = (baskets_initial - baskets_shipped) * strawberries_left_per_basket
    return result",100000,,0,0.0,0
2571,finetuned_llama,"Steph Curry is the best shooter in the NBA. He has 200 3-pointers. 50% of the 3-pointers are from the left, 30% are from the right, and the rest are from the center. How many 3-pointers has he made from the center?","def solution():
    #Steph Curry has 200 3-pointers
    three_pointers = 200
    #50% of the 3-pointers are from the left
    three_pointers_left = three_pointers * 0.5
    #30% are from the right
    three_pointers_right = three_pointers * 0.3
    #The rest are from the center
    three_pointers_center = three_pointers - three_pointers_left - three_pointers_right
    return three_pointers_center",40.0,1.0,1,1.0,1
2572,finetuned_llama,Naruto ate 12 ramen noodles for lunch. He ate 2 more for dinner. How many ramen noodles did he eat in total?,"def solution():
    #Naruto ate 12 ramen noodles for lunch
    ramen_noodles_lunch = 12
    #He ate 2 more for dinner
    ramen_noodles_dinner = 2
    #The answer is
    result = ramen_noodles_lunch + ramen_noodles_dinner
    return result",14,1.0,1,1.0,1
2573,finetuned_llama,"The field hockey team has 20 players. 6 of them are forwards, 8 of them are midfielders, and the rest are defenders. How many defenders are on the field hockey team?","def solution():
    #Total players
    total_players = 20
    #Forwards
    forwards = 6
    #Midfielders
    midfielders = 8
    #Defenders
    defenders = total_players - forwards - midfielders
    return defenders",6,1.0,1,1.0,1
2574,finetuned_llama,The number of 5-star reviews on a product page is 100. The number of 4-star reviews is 50. The number of 3-star reviews is 20. The number of 2-star reviews is 10. The number of 1-star reviews is 5. How many 5-star and 4-star reviews are there in total?,"def solution():
    #The number of 5-star reviews
    five_star_reviews = 100
    #The number of 4-star reviews
    four_star_reviews = 50
    #The number of 3-star reviews
    three_star_reviews = 20
    #The number of 2-star reviews
    two_star_reviews = 10
    #The number of 1-star reviews
    one_star_reviews = 5
    #The answer is
    result = five_star_reviews + four_star_reviews
    return result",150,1.0,1,1.0,1
2575,finetuned_llama,"The lacrosse team has 20 members. 8 of them are on the defensive team, 6 of them are on the offensive team, and the rest are on the midfield team. How many players are on the midfield team?","def solution():
    #The lacrosse team has 20 members
    team_size = 20
    #8 of them are on the defensive team
    defensive_team = 8
    #6 of them are on the offensive team
    offensive_team = 6
    #The rest are on the midfield team. The answer is
    midfield_team = team_size - defensive_team - offensive_team
    return midfield_team",6,1.0,1,1.0,1
2576,finetuned_llama,"There are 24000 students at a university. 4000 of them are in their first year, 6000 are in their second year, 7000 are in their third year, and the rest are in their fourth year. How many students are in their fourth year?","def solution():
    #Total number of students
    total_students = 24000
    #Number of students in their first year
    first_year_students = 4000
    #Number of students in their second year
    second_year_students = 6000
    #Number of students in their third year
    third_year_students = 7000
    #The number of students in their fourth year is
    fourth_year_students = total_students - first_year_students - second_year_students - third_year_students
    return fourth_year_students",7000,1.0,1,1.0,1
2577,finetuned_llama,"300 Girl Scouts are selling 1000 boxes of cookies. 200 of the boxes are Thin Mints, 300 of the boxes are Samoas, and the rest are Tagalongs. How many Tagalongs are there?","def solution():
    #300 Girl Scouts are selling 1000 boxes of cookies
    total_boxes = 1000
    #200 of the boxes are Thin Mints, 300 of the boxes are Samoas
    thin_mints = 200
    samoas = 300
    #The rest are Tagalongs
    tagalongs = total_boxes - thin_mints - samoas
    return tagalongs",500,1.0,0,0.0,0
2578,finetuned_llama,"Thor is a 2,000-pound pig.  He eats 20 pounds of food a day.  How much food does he need for 30 days?","def solution():
    #Thor weighs 2000 pounds
    thor_weight = 2000
    #He eats 20 pounds of food a day
    food_per_day = 20
    #He needs to eat for 30 days
    days = 30
    #The answer is
    result = thor_weight * food_per_day * days
    return result",1200000,1.0,1,1.0,1
2579,finetuned_llama,Iron Man has 1000 micro-missiles. He used 200 of them in the first battle and 300 of them in the second battle. How many micro-missiles does he have left?,"def solution():
    #Iron Man started with 1000 micro-missiles
    micro_missiles_initial = 1000
    #He used 200 in the first battle
    micro_missiles_used_first_battle = 200
    #He used 300 in the second battle
    micro_missiles_used_second_battle = 300
    #The answer is
    result = micro_missiles_initial - micro_missiles_used_first_battle - micro_missiles_used_second_battle
    return result",500,1.0,1,1.0,1
2580,finetuned_llama,Serena has 12 cans of soda. She has 2 cans of soda per day for a week. How many cans of soda does she have left?,"def solution():
    #Serena has 12 cans of soda
    cans_of_soda_initial = 12
    #She has 2 cans of soda per day
    cans_of_soda_per_day = 2
    #There are 7 days in a week
    days_in_a_week = 7
    #She drank
    cans_of_soda_drank = cans_of_soda_per_day * days_in_a_week
    #The answer is
    result = cans_of_soda_initial - cans_of_soda_drank
    return result",-2,,0,0.0,0
2581,finetuned_llama,"The number of chickens on a farm is 200. 100 more chickens are bought. 30 of the chickens are sold, and 20 of the chickens die. How many chickens are left?","def solution():
    #The number of chickens on a farm is 200
    chickens_initial = 200
    #100 more chickens are bought
    chickens_bought = 100
    #30 of the chickens are sold
    chickens_sold = 30
    #20 of the chickens die
    chickens_died = 20
    #The answer is
    result = chickens_initial + chickens_bought - chickens_sold - chickens_died
    return result",250,1.0,1,0.0,0
2582,finetuned_llama,"A baker is making a cake. He needs 12 cups of flour. He has 3 bags of flour. If each bag has 4 cups of flour, how many more cups of flour does he need?","def solution():
    #The baker needs 12 cups of flour
    flour_needed = 12
    #He has 3 bags of flour
    bags_of_flour = 3
    #Each bag has 4 cups of flour
    flour_per_bag = 4
    #The baker has
    flour_he_has = bags_of_flour * flour_per_bag
    #cups of flour. The answer is
    result = flour_needed - flour_he_has
    return result",0,1.0,1,1.0,1
2583,finetuned_llama,"In the 2020-2021 season, LeBron James scored 35, 33, 30, and 28 points in the first four games. How many points per game did he average?","def solution():
    #LeBron James scored
    points_1 = 35
    points_2 = 33
    points_3 = 30
    points_4 = 28
    #In the first four games. The answer is
    result = (points_1 + points_2 + points_3 + points_4) / 4
    return result",31.5,1.0,1,1.0,1
2584,finetuned_llama,"Tony Stark, the billionaire alter ego of Iron Man, is a philanthropist. He donates 5000 to the Red Cross, 2000 to the Salvation Army, and 3000 to the United Way. How much money did he donate in total?","def solution():
    #Tony Stark donated 5000 to the Red Cross
    red_cross = 5000
    #2000 to the Salvation Army
    salvation_army = 2000
    #3000 to the United Way
    united_way = 3000
    #The answer is
    result = red_cross + salvation_army + united_way
    return result",10000,1.0,1,1.0,1
2585,finetuned_llama,A 220-pound pig is butchered. 155 pounds of the pig are usable. 40% of the usable pig is bacon. 25% of the bacon is cured. How many pounds of cured bacon are there?,"def solution():
    #The pig weighed 220 pounds
    pig_weight = 220
    #155 pounds of the pig are usable
    usable_pig = 155
    #40% of the usable pig is bacon
    bacon = usable_pig * 0.4
    #25% of the bacon is cured
    cured_bacon = bacon * 0.25
    #The answer is
    result = cured_bacon
    return result",15.5,1.0,1,0.0,0
2586,finetuned_llama,12000 people live in a small town. 2500 of them are kids. 3500 of them are teenagers. 3000 of them are young adults. 3000 of them are middle-aged. How many of them are seniors?,"def solution():
    #The total population of the small town is 12000
    total_population = 12000
    #2500 of them are kids
    kids = 2500
    #3500 of them are teenagers
    teenagers = 3500
    #3000 of them are young adults
    young_adults = 3000
    #3000 of them are middle-aged
    middle_aged = 3000
    #The answer is
    seniors = total_population - kids - teenagers - young_adults - middle_aged
    return seniors",0,1.0,1,1.0,1
2587,finetuned_llama,Iron Man has 225 amps of power. He flies for 2 hours at 25 amps per hour. He then flies for 5 more hours at 15 amps per hour. How many amps of power does he have left?,"def solution():
    #Iron Man started with 225 amps of power
    power_initial = 225
    #He flew for 2 hours at 25 amps per hour
    power_used_2_hours = 2 * 25
    #He then flew for 5 more hours at 15 amps per hour
    power_used_5_hours = 5 * 15
    #The answer is
    result = power_initial - power_used_2_hours - power_used_5_hours
    return result",100,1.0,1,1.0,1
2588,finetuned_llama,Taylor Swift has 200 million TikTok followers. 100 million of her followers are in the United States. 20 million of her followers are in the United Kingdom. 50 million of her followers are in India. 20 million of her followers are in the rest of the world. How many of her followers are in the rest of the world?,"def solution():
    #Taylor Swift has 200 million TikTok followers
    total_followers = 200
    #100 million of her followers are in the United States
    us_followers = 100
    #20 million of her followers are in the United Kingdom
    uk_followers = 20
    #50 million of her followers are in India
    india_followers = 50
    #The answer is
    rest_of_world_followers = total_followers - us_followers - uk_followers - india_followers
    return rest_of_world_followers",30,,0,0.0,0
2589,finetuned_llama,A lacrosse team has 12 players. The team has 24 sticks. 1/3 of the sticks are broken. 1/2 of the players are left-handed. How many left-handed players have a working stick?,"def solution():
    #The team has 12 players
    players = 12
    #1/2 of the players are left-handed
    left_handed_players = players / 2
    #The team has 24 sticks
    sticks = 24
    #1/3 of the sticks are broken
    broken_sticks = sticks / 3
    #The number of working sticks is
    working_sticks = sticks - broken_sticks
    #The number of left-handed players with a working stick is
    result = left_handed_players * working_sticks
    return result",96.0,,0,0.0,0
2590,finetuned_llama,"50000 candy canes are in a 200-pound pile. 20000 are red, 15000 are green, and the rest are white. How many candy canes are white?","def solution():
    #Total candy canes
    total_candy_canes = 50000
    #Red candy canes
    red_candy_canes = 20000
    #Green candy canes
    green_candy_canes = 15000
    #White candy canes
    white_candy_canes = total_candy_canes - red_candy_canes - green_candy_canes
    return white_candy_canes",15000,1.0,1,1.0,1
2591,finetuned_llama,"The Power Rangers are a team of 5. 3 of them are on the ground, and 2 of them are in the air. How many Power Rangers are there in total?","def solution():
    #There are 3 Power Rangers on the ground
    rangers_ground = 3
    #There are 2 Power Rangers in the air
    rangers_air = 2
    #The answer is
    result = rangers_ground + rangers_air
    return result",5,1.0,1,0.0,0
2592,finetuned_llama,There are 2500 students in a university. 50% of the students are men. 20% of the men are in the engineering program. 40% of the women are in the nursing program. How many more women are in the nursing program than men in the engineering program?,"def solution():
    #Total students in the university
    total_students = 2500
    #50% of the students are men
    men_students = total_students * 0.5
    #20% of the men are in the engineering program
    men_in_engineering = men_students * 0.2
    #40% of the women are in the nursing program
    women_in_nursing = (total_students - men_students) * 0.4
    #The answer is
    result = women_in_nursing - men_in_engineering
    return result",250.0,1.0,1,1.0,1
2593,finetuned_llama,"Naruto is a Hokage. He has 500 shadow clones. 200 of them are in the village, 100 of them are on a mission, and the rest are in the training ground. How many shadow clones are in the training ground?","def solution():
    #Naruto has 500 shadow clones
    shadow_clones = 500
    #200 of them are in the village
    village_clones = 200
    #100 of them are on a mission
    mission_clones = 100
    #The answer is
    result = shadow_clones - village_clones - mission_clones
    return result",200,1.0,1,1.0,1
2594,finetuned_llama,A toy store has 100 Hello Kitty toys. 40 of the toys are in the 12-inch range. 20 are in the 16-inch range. 10 are in the 20-inch range. The rest of the toys are in the 24-inch range. How many toys are in the 24-inch range?,"def solution():
    #Total number of toys
    total_toys = 100
    #12-inch toys
    toys_12_inch = 40
    #16-inch toys
    toys_16_inch = 20
    #20-inch toys
    toys_20_inch = 10
    #24-inch toys
    toys_24_inch = total_toys - toys_12_inch - toys_16_inch - toys_20_inch
    return toys_24_inch",30,1.0,1,1.0,1
2595,finetuned_llama,"A lacrosse team has 12 players. 6 of them are in 10th grade, 4 are in 11th grade, and the rest are in 12th grade. How many 12th graders are on the team?","def solution():
    #The total number of players
    total_players = 12
    #The number of 10th graders
    tenth_graders = 6
    #The number of 11th graders
    eleventh_graders = 4
    #The number of 12th graders is
    twelfth_graders = total_players - tenth_graders - eleventh_graders
    return twelfth_graders",2,1.0,1,1.0,1
2596,finetuned_llama,200 people are in line to get ice cream. 80% of the people in line are adults. 30% of the adults in line are allergic to peanuts. How many adults in line are not allergic to peanuts?,"def solution():
    #200 people are in line
    people_in_line = 200
    #80% of the people in line are adults
    adults_in_line = people_in_line * 0.8
    #30% of the adults in line are allergic to peanuts
    peanut_allergic_adults = adults_in_line * 0.3
    #The answer is
    result = adults_in_line - peanut_allergic_adults
    return result",112.0,1.0,1,1.0,1
2597,finetuned_llama,LeBron James has 12000 points. He is 4000 points away from the all-time scoring record. How many more points does he need to average per game for the next 20 games to break the record?,"def solution():
    #LeBron James has 12000 points
    points_lebron = 12000
    #He is 4000 points away from the all-time scoring record
    points_needed = 4000
    #He needs to play 20 more games
    games_remaining = 20
    #The answer is
    result = points_needed / games_remaining
    return result",200.0,1.0,1,1.0,1
2598,finetuned_llama,2000 people were at a rally. 500 of the attendees were wearing hats. 2/3 of the attendees wearing hats were also wearing sunglasses. How many attendees were wearing sunglasses?,"def solution():
    #2000 people were at a rally
    people_rally = 2000
    #500 of the attendees were wearing hats
    hats_attendees = 500
    #2/3 of the attendees wearing hats were also wearing sunglasses
    sunglasses_attendees = (2/3) * hats_attendees
    #The answer is
    result = sunglasses_attendees
    return result",333.3333333333333,,0,0.0,0
2599,finetuned_llama,"Naruto, the ramen-loving shinobi, ate 21 bowls of ramen on Monday. He ate 12 on Tuesday, 10 on Wednesday, and 14 on Thursday. How many bowls of ramen did he have in total?","def solution():
    #Naruto ate 21 bowls of ramen on Monday
    ramen_monday = 21
    #12 on Tuesday
    ramen_tuesday = 12
    #10 on Wednesday
    ramen_wednesday = 10
    #and 14 on Thursday
    ramen_thursday = 14
    #The answer is
    result = ramen_monday + ramen_tuesday + ramen_wednesday + ramen_thursday
    return result",57,1.0,1,1.0,1
2600,finetuned_llama,"14 pizzas were ordered for a pizza party. 5 pizzas were topped with mushrooms, 6 pizzas were topped with pepperoni, and the rest were topped with both mushrooms and pepperoni. How many pizzas were topped with both mushrooms and pepperoni?","def solution():
    #14 pizzas were ordered
    pizzas_ordered = 14
    #5 pizzas were topped with mushrooms
    pizzas_mushrooms = 5
    #6 pizzas were topped with pepperoni
    pizzas_pepperoni = 6
    #The rest were topped with both mushrooms and pepperoni. The answer is
    pizzas_both = pizzas_ordered - pizzas_mushrooms - pizzas_pepperoni
    return pizzas_both",3,1.0,1,1.0,1
2601,finetuned_llama,"Spiderman has 1000 webs. He used 500 webs to stop a runaway bus, 200 webs to apprehend a thief, and 300 webs to save a cat from a tree. How many webs does he have left?","def solution():
    #Spiderman started with 1000 webs
    webs_initial = 1000
    #He used 500 to stop a runaway bus
    webs_used_bus = 500
    #He used 200 to apprehend a thief
    webs_used_thief = 200
    #He used 300 to save a cat from a tree
    webs_used_cat = 300
    #The answer is
    result = webs_initial - webs_used_bus - webs_used_thief - webs_used_cat
    return result",0,1.0,1,1.0,1
2602,finetuned_llama,"In the 2021-2022 season, Steph Curry made 281 three-pointers. He made 110 in the first half of the season and 130 in the second half. How many did he make in the playoffs?","def solution():
    #Curry made 281 three-pointers
    three_pointers = 281
    #He made 110 in the first half
    first_half = 110
    #He made 130 in the second half
    second_half = 130
    #The answer is
    result = three_pointers - first_half - second_half
    return result",41,1.0,1,1.0,1
2603,finetuned_llama,The lacrosse team has 120 sticks. They are all in 40-stick boxes. How many boxes do they have?,"def solution():
    #The team has 120 sticks
    sticks_total = 120
    #The sticks are in 40-stick boxes
    sticks_per_box = 40
    #The answer is
    result = sticks_total / sticks_per_box
    return result",3.0,1.0,1,1.0,1
2604,finetuned_llama,A 12-slice pizza was cut into 4-slice and 6-slice pizzas. 1/2 of the 4-slice pizzas and 1/3 of the 6-slice pizzas were topped with pepperoni. How many slices of pizza were topped with pepperoni?,"def solution():
    #The pizza was cut into 4-slice and 6-slice pizzas
    slices_4 = 4
    slices_6 = 6
    #1/2 of the 4-slice pizzas and 1/3 of the 6-slice pizzas were topped with pepperoni
    topped_4 = slices_4 / 2
    topped_6 = slices_6 / 3
    #The answer is
    result = topped_4 + topped_6
    return result",4.0,1.0,1,0.0,0
2605,finetuned_llama,"A lacrosse team has 15 players. 6 of the players are on the attack, 5 are on the defense, and the rest are midfielders. How many midfielders are there?","def solution():
    #Total number of players
    total_players = 15
    #Number of attackers
    attackers = 6
    #Number of defenders
    defenders = 5
    #The rest are midfielders
    midfielders = total_players - attackers - defenders
    return midfielders",4,1.0,1,1.0,1
2606,finetuned_llama,Wonder Woman can lasso 16 villains in 20 minutes. How many villains can she lasso in 40 minutes?,"def solution():
    #Wonder Woman can lasso 16 villains in 20 minutes
    villains_20_minutes = 16
    #40 minutes is 2 * 20 minutes
    minutes_40 = 2 * 20
    #She lassos the same number of villains in 20 minutes as in 40 minutes
    villains_40_minutes = villains_20_minutes * 2
    return villains_40_minutes",32,1.0,1,1.0,1
2607,finetuned_llama,"A lacrosse team has 24 players. 11 of the players are from the United States. 7 of the players are from Canada. 4 of the players are from Australia. 2 of the players are from the United Kingdom. How many players are not from the United States, Canada, Australia, or the United Kingdom?","def solution():
    #Total players
    total_players = 24
    #Players from the US, Canada, Australia, and the UK
    players_us = 11
    players_canada = 7
    players_australia = 4
    players_uk = 2
    #Players not from the US, Canada, Australia, or the UK
    players_not_us_canada_australia_uk = total_players - (players_us + players_canada + players_australia + players_uk)
    return players_not_us_canada_australia_uk",0,1.0,1,1.0,1
2608,finetuned_llama,"Spiderman has 100 spiders. 20 of them are in the sewers, 30 of them are in the subway, and 40 of them are in the forests. The rest of the spiders are in his backpack. How many spiders are in his backpack?","def solution():
    #Spiderman has 100 spiders
    spiders_total = 100
    #20 of them are in the sewers
    spiders_sewers = 20
    #30 of them are in the subway
    spiders_subway = 30
    #40 of them are in the forests
    spiders_forests = 40
    #The rest of the spiders are in his backpack. The answer is
    spiders_backpack = spiders_total - spiders_sewers - spiders_subway - spiders_forests
    return spiders_backpack",10,1.0,1,0.0,0
2609,finetuned_llama,1200 people were at a rally. 3/4 of the attendees were women. 1/4 of the attendees were men. 1/5 of the men were wearing hats. How many men were wearing hats?,"def solution():
    #Total attendees at the rally
    total_attendees = 1200
    #3/4 of the attendees were women
    women_attendees = total_attendees * 3/4
    #1/4 of the attendees were men
    men_attendees = total_attendees * 1/4
    #1/5 of the men were wearing hats
    men_wearing_hats = men_attendees * 1/5
    #The answer is
    result = int(men_wearing_hats)
    return result",60,1.0,1,1.0,1
