,question,solution,answer,accuracy,explanation
532,"Spiderman has 80 meters of webbing in his web-shooters. He uses 15 meters to swing from one building to another. If he continues swinging across 4 more buildings using the same amount of webbing each time, how much webbing will he have left?","def solution():
    # Spiderman starts with 80 meters of webbing
    total_webbing = 80
    # He uses 15 meters of webbing to swing across one building
    webbing_per_swing = 15
    # Number of buildings Spiderman swings across, including the first one
    buildings_swung = 1 + 4  # the first and the additional 4 buildings
    # Total webbing used by swinging across the buildings
    webbing_used = webbing_per_swing * buildings_swung
    # The amount of webbing Spiderman will have left
    result = total_webbing - webbing_used
    return result

# Uncomment the line below to run the function and calculate the result
# print(solution())",5,,
533,"Hello Kitty is helping her mother bake cookies for her friends. They decide to bake 4 batches of cookies, with each batch having 12 cookies. However, before they finish, Hello Kitty eats 5 cookies. How many cookies are left for her friends?","def solution():
    # Hello Kitty's mother plans to bake 4 batches of cookies
    total_batches = 4
    # Each batch contains 12 cookies
    cookies_per_batch = 12
    # Total number of cookies is
    total_cookies = total_batches * cookies_per_batch
    # Hello Kitty eats 5 cookies
    cookies_eaten = 5
    # The number of cookies left is
    cookies_left = total_cookies - cookies_eaten
    return cookies_left",43,1.0,The solution correctly identifies the number of batches and the number of cookies per batch to find the total number of cookies. It then correctly subtracts the number of cookies Hello Kitty eats to find the remaining number of cookies for her friends.
534,"Hello Kitty has a collection of stickers. She has 300 flower stickers, 200 heart stickers, and 400 star stickers. She gave away 150 flower stickers to her friend Mimmy. How many stickers does Hello Kitty have left in total?","def solution():
    # Hello Kitty's flower stickers
    flower_stickers = 300
    # Hello Kitty's heart stickers
    heart_stickers = 200
    # Hello Kitty's star stickers
    star_stickers = 400
    # She gave away 150 flower stickers
    flower_stickers_given_away = 150
    # Total stickers left after giving away flower stickers
    total_stickers_left = (flower_stickers - flower_stickers_given_away) + heart_stickers + star_stickers
    # The answer is
    return total_stickers_left

# Uncomment below to run the function and print the result
# print(solution())",750,1.0,"The solution for this question correctly calculates the total number of stickers that Hello Kitty has left after giving away 150 flower stickers. The subtraction of the given away flower stickers and addition of the remaining types of stickers are performed correctly, arriving at the correct total."
535,"Amy went to an ice cream shop where they sell ice cream cones at $3 each. She bought some ice cream cones for her friends and herself. After Amy gave the cashier $20, she received $5 back as change. How many ice cream cones did Amy buy?","def solution():
    # Amy gave the cashier $20
    money_given = 20
    # Cashier gave $5 back as change
    change_received = 5
    # The cost of each ice cream cone is $3
    cost_per_cone = 3
    # The amount of money spent on ice cream cones
    money_spent = money_given - change_received
    # The number of ice cream cones bought is
    cones_bought = money_spent // cost_per_cone  # We use floor division because you can't buy a fraction of a cone
    return cones_bought

# Uncomment the following line to test the function:
# print(solution())",5,1.0,"The solution calculates the money spent on ice cream cones by subtracting the change received from the money given to the cashier. Then, it correctly calculates the number of ice cream cones bought by using floor division on the money spent over the cost per cone, which is consistent with the fact that you can't buy a fraction of a cone."
536,"Sarah's soccer team played a series of games over the weekend. On Saturday, they scored 3 goals in the first game and twice as many in the second game. On Sunday, they played one more game and scored 5 goals. How many goals did Sarah's team score in total over the weekend?","def solution():
    # Sarah's team scored 3 goals in the first game on Saturday
    goals_first_game = 3
    # They scored twice as many in the second game on Saturday
    goals_second_game = 2 * goals_first_game
    # On Sunday, they scored 5 goals
    goals_sunday_game = 5
    # The total number of goals scored over the weekend is
    total_goals = goals_first_game + goals_second_game + goals_sunday_game
    # The answer is
    return total_goals

# Uncomment the line below to run the function and get the total number of goals scored
# print(solution())",14,1.0,"The solution for this question correctly computes the total goals by following the problem statement. It calculates the goals scored in the second Saturday game as twice the goals scored in the first Saturday game (3 * 2 = 6), adds this to the goals scored in the first Saturday game (3), and then adds the goals scored in the Sunday game (5), resulting in a total of 3 + 6 + 5 = 14 goals scored over the weekend."
537,"Captain America is training for a mission. He does 50 push-ups in the morning and 70 push-ups in the evening. If he follows this routine every day, how many push-ups will Captain America do in a week?","def solution():
    # Captain America does 50 push-ups in the morning
    morning_pushups = 50
    # He also does 70 push-ups in the evening
    evening_pushups = 70
    # The total number of push-ups done in a day is the sum of morning and evening push-ups
    daily_pushups = morning_pushups + evening_pushups
    # There are 7 days in a week
    days_in_week = 7
    # The total number of push-ups in a week is the daily number times the number of days in a week
    weekly_pushups = daily_pushups * days_in_week
    # The answer is
    return weekly_pushups

# Let's call the function and print the result
print(solution())",840,1.0,The solution correctly calculates the daily push-ups by adding the number completed in the morning to those in the evening. It then multiplies this daily total by the number of days in a week to arrive at the correct total number of push-ups Captain America will do in a week.
538,"Train A leaves the station heading east at 60 miles per hour. Two hours later, Train B leaves the same station heading east on a parallel track at 80 miles per hour. How many hours after Train B leaves will it catch up to Train A?","def solution():
    # Train A speed is 60 mph
    speed_A = 60
    # Train B speed is 80 mph
    speed_B = 80
    # Train B leaves 2 hours after Train A
    lead_time = 2
    # In those 2 hours, Train A would have covered
    distance_A_start = speed_A * lead_time
    
    # Train B needs to cover the distance Train A has already travelled plus the distance both trains will cover simultaneously. 
    # Let t be the time required for Train B to catch up after it started. We have the equation:
    # speed_A * t = distance_A_start + (speed_B * t)
    # Rearranging the equation to solve for time (t) after Train B leaves:
    # (speed_B - speed_A) * t = distance_A_start
    # Therefore, time (t) is:
    t = distance_A_start / (speed_B - speed_A)
    return t
    
# Call the solution function to find out the answer
hours_to_catch_up = solution()
print(f""Train B will catch up to Train A after {hours_to_catch_up} hours."")",6,0.0,"The calculation in the solution is incorrect. Train A creates a lead of speed_A * lead_time = 60 mph * 2 hours = 120 miles during the 2-hour head start. Train B travels at a relative speed of speed_B - speed_A = 80 mph - 60 mph = 20 mph faster than Train A. To cover the 120-mile difference at a relative speed of 20 mph, Train B would take 120 miles / 20 mph = 6 hours to catch up to Train A. However, that is the time it takes after Train A left the station, not after Train B left. Since Train B left 2 hours after Train A, you need to subtract those 2 hours from the total time to catch up. Thus, Train B will catch up to Train A 6 hours - 2 hours = 4 hours after Train B leaves."
539,"Spiderman has been busy fighting crime in New York City. On Monday, he swung through the city and caught 5 thieves. On Tuesday, he caught double the amount he caught on Monday. On Wednesday, he caught 3 fewer than on Tuesday. If he takes a break on Thursday, how many thieves has he caught in total from Monday to Wednesday?","def solution():
    # Number of thieves Spiderman caught on Monday
    thieves_monday = 5
    # On Tuesday, he caught double the amount of Monday
    thieves_tuesday = thieves_monday * 2
    # On Wednesday, he caught 3 fewer than on Tuesday
    thieves_wednesday = thieves_tuesday - 3
    # Total thieves caught from Monday to Wednesday
    total_thieves = thieves_monday + thieves_tuesday + thieves_wednesday
    return total_thieves",22,1.0,"The solution correctly calculates that Spiderman caught 5 thieves on Monday, doubles this number for Tuesday resulting in 10, and subtracts 3 for Wednesday's count, giving 7. The total (5 + 10 + 7) is correctly summed to 22."
540,"A class is having a pizza party. The teacher orders 5 pizzas. Each pizza is cut into 8 slices. There are 20 students in the class. If each student eats the same number of slices, how many slices of pizza can each student eat?","def solution():
    # The teacher orders 5 pizzas
    pizzas = 5
    # Each pizza is cut into 8 slices
    slices_per_pizza = 8
    # There are 20 students in the class
    students = 20
    
    # Total number of slices
    total_slices = pizzas * slices_per_pizza
    # Slices of pizza per student
    slices_per_student = total_slices // students
    
    return slices_per_student

# Uncomment the following line to test the function:
# print(solution())",2,1.0,"The solution correctly calculates the total number of pizza slices by multiplying the number of pizzas by the slices per pizza. It then uses integer division to divide the total number of slices by the number of students, to find out how many slices each student can eat without any remainder."
541,"Superman is helping to move books from the old city library to the new one. He makes 4 trips and carries 300 books each trip. On his last trip, grateful citizens donate an additional 200 books that he also transports. How many books in total did Superman move to the new library?","def solution():
    # Superman makes 4 trips
    trips = 4
    # He carries 300 books each trip
    books_per_trip = 300
    # On the last trip, an additional 200 books are given
    additional_books = 200
    # The total books moved are the books per trip times the number of trips
    # plus the additional books
    total_books_moved = (books_per_trip * (trips - 1)) + (books_per_trip + additional_books)
    # The final answer is
    return total_books_moved

# Call the function and print the result
print(solution())",1400,1.0,"The solution is accurate. It correctly calculates the total number of books moved as the 'books per trip' times the 'number of trips - 1' to account for the additional books on the last trip. It then adds the 'books per trip' for the last trip along with the additional 200 books, resulting in the correct total number of books moved (3 trips * 300 books + 1 trip * 300 books + 200 additional books = 900 + 300 + 200 = 1400)."
542,"Tim ordered a pizza with 8 slices. He invited 3 friends over and they ate some slices. If there were only 2 slices left, how many slices did Tim and his friends eat?","def solution():
    #Total number of pizza slices
    total_slices = 8
    #Number of slices left
    slices_left = 2
    #Subtract the number of slices left from the total number to find out how many were eaten
    slices_eaten = total_slices - slices_left
    return slices_eaten",6,1.0,The solution is accurate as it correctly calculates the number of slices eaten by subtracting the slices left from the total number of slices.
543,"Taylor Swift has released 10 albums. If each album has an average of 13 songs, and she decides to create a special playlist featuring 5 songs from each album, how many songs will be on the playlist?","def solution():
    # Taylor Swift has released 10 albums
    number_of_albums = 10
    # She decides to put 5 songs from each album on the playlist
    songs_per_album_on_playlist = 5
    # Calculating the total songs on the playlist
    total_songs = number_of_albums * songs_per_album_on_playlist
    return total_songs

# Calling the function and printing the result
print(solution())",50,1.0,"The solution is accurate as it correctly calculates the total number of songs on the playlist by multiplying the number of albums (10) by the number of songs from each album she decides to put on the playlist (5), resulting in 50 songs in total."
544,"Steve is playing Minecraft and has collected 64 blocks of iron ore, 32 blocks of gold ore, and 16 blocks of diamond ore. He uses a furnace to smelt them into ingots. Each block of iron ore gives him 1 iron ingot, each block of gold ore gives him 1 gold ingot, and each block of diamond ore gives him 1 diamond. How many ingots and diamonds does Steve have in total after smelting them all?","def solution():
    # Number of blocks of iron ore Steve has collected
    iron_ore_blocks = 64
    # Number of blocks of gold ore Steve has collected
    gold_ore_blocks = 32
    # Number of blocks of diamond ore Steve has collected
    diamond_ore_blocks = 16
    
    # Smelting yields one ingot or diamond per ore block
    # Therefore, after smelting all the ores, Steve will have
    iron_ingots = iron_ore_blocks
    gold_ingots = gold_ore_blocks
    diamonds = diamond_ore_blocks
    
    # The answer is the total number of ingots and diamonds
    total_ingots_and_diamonds = iron_ingots + gold_ingots + diamonds
    return total_ingots_and_diamonds

# Call the function and print the result
print(solution())",112,1.0,"The solution provided calculates the number of ingots and diamonds correctly by summing the individual counts of iron ingots, gold ingots, and diamonds, which are the products of smelting each type of ore block. Steve receives one ingot or diamond per block of ore, which leads to a correct total of 112 ingots and diamonds after smelting all the ore blocks."
545,"A lacrosse coach is planning a practice session, and he has 50 lacrosse balls. He decides to split them evenly among 5 practice stations. During the practice, 2 of the stations lose 3 balls each. How many balls remain in total after the loss?","def solution():
    # The coach starts with 50 lacrosse balls
    initial_balls = 50
    # There are 5 practice stations
    stations = 5
    # Each station gets an equal number of balls
    balls_per_station = initial_balls / stations
    # 2 stations lose 3 balls each
    lost_balls = 2 * 3
    # Subtract the lost balls from the initial total
    remaining_balls = initial_balls - lost_balls
    # The answer is
    result = remaining_balls
    return result",44,0.8,"The solution correctly identifies that 2 stations lose a total of 6 balls, which are subtracted from the initial number to obtain the correct total remaining balls. However, the calculation of balls per station (although not affecting the final answer) introduces unnecessary complexity and could lead to confusion. Therefore, the solution is not perfectly accurate in terms of streamlined logic."
546,"A cheerleading squad is performing at a basketball game. If each cheerleader does 8 flips and there are 6 cheerleaders on the team, how many flips are performed in total?","def solution():
    # There are 6 cheerleaders on the squad
    cheerleaders = 6
    # Each cheerleader performs 8 flips
    flips_per_cheerleader = 8
    # The total number of flips performed is
    total_flips = cheerleaders * flips_per_cheerleader
    return total_flips",48,1.0,The solution correctly multiplies the number of cheerleaders by the number of flips each cheerleader performs to arrive at the total number of flips performed.
547,"At a cheerleading competition, the Dragonflies squad is performing a pyramid formation that requires 3 cheerleaders at the base, 2 cheerleaders on the second level, and 1 cheerleader at the top. After the performance, they decide to do a larger pyramid for their final pose that uses twice as many cheerleaders at each level. How many cheerleaders are needed for the larger pyramid?","def solution():
    # Number of cheerleaders at the base level for the initial pyramid
    base_cheerleaders_initial = 3
    # Number of cheerleaders at the second level for the initial pyramid
    second_level_cheerleaders_initial = 2
    # Number of cheerleaders at the top for the initial pyramid
    top_cheerleader_initial = 1
    
    # The final pyramid has twice as many cheerleaders at each level
    # Calculating the number of cheerleaders for the larger pyramid
    base_cheerleaders_final = base_cheerleaders_initial * 2
    second_level_cheerleaders_final = second_level_cheerleaders_initial * 2
    top_cheerleader_final = top_cheerleader_initial * 2
    
    # Total cheerleaders needed for the larger pyramid
    total_cheerleaders_final = base_cheerleaders_final + second_level_cheerleaders_final + top_cheerleader_final
    
    # The answer is
    return total_cheerleaders_final

# Calling the function to get the result
number_of_cheerleaders = solution()
print(f""The number of cheerleaders needed for the larger pyramid is: {number_of_cheerleaders}"")",12,1.0,"The solution correctly calculates the number of cheerleaders needed for the larger pyramid by multiplying the number of cheerleaders at each level of the initial pyramid by 2 and then adding them up, which gives a total of 12 cheerleaders (6 for the base, 4 for the second level, and 2 for the top)."
548,"Superman is helping to rebuild a bridge. The bridge needs a total of 120 steel beams. On the first day, Superman places 30 beams. Each following day, he doubles the amount of beams he places from the previous day. How many more beams does Superman need to place after the second day?","def solution():
    # On the first day, Superman places 30 beams.
    beams_day_one = 30
    # On the second day, he doubles the number of beams from the previous day.
    beams_day_two = beams_day_one * 2
    # Total beams needed for the bridge.
    total_beams_needed = 120
    # Beams placed after the second day is the sum of beams placed on day one and day two.
    beams_placed_after_day_two = beams_day_one + beams_day_two
    # The answer is the remaining beams needed after the second day.
    result = total_beams_needed - beams_placed_after_day_two
    return result",30,1.0,"The solution correctly calculates the number of beams Superman places on the second day by doubling the amount from the first day (30 beams * 2 = 60 beams). Then, it correctly sums the number of beams placed on the first and second days (30 beams + 60 beams = 90 beams). Lastly, it correctly subtracts the total beams placed after the second day from the total beams needed (120 beams - 90 beams = 30 beams), which is the correct answer."
549,"Captain Marvel is helping to organize a space race. There are 5 planets participating in the race. Earth has prepared 3 spaceships, Mars has prepared 4, Jupiter has doubled what Earth and Mars have combined, and Saturn has 2 fewer spaceships than Jupiter. How many spaceships has Neptune prepared if the total number of spaceships in the race is 40?","def solution():
    # Earth has prepared 3 spaceships
    earth_spaceships = 3
    # Mars has prepared 4 spaceships
    mars_spaceships = 4
    # Jupiter has double the combined spaceships of Earth and Mars
    jupiter_spaceships = (earth_spaceships + mars_spaceships) * 2
    # Saturn has 2 fewer spaceships than Jupiter
    saturn_spaceships = jupiter_spaceships - 2
    # Total number of spaceships in the race is 40
    total_spaceships = 40
    # Spaceships that Neptune has prepared
    neptune_spaceships = total_spaceships - (earth_spaceships + mars_spaceships + jupiter_spaceships + saturn_spaceships)
    # The answer is
    return neptune_spaceships

# Example call to the function
neptune_fleet = solution()
print(""Neptune has prepared {} spaceships for the race."".format(neptune_fleet))",7,1.0,"The solution correctly calculates the number of spaceships prepared by each planet by using the information given in the problem. It accurately finds the number by Earth and Mars, doubles it for Jupiter, subtracts two for Saturn and then subtracts the sum of these spaceships from the total to find Neptune's spaceships, arriving at the correct answer of 7 spaceships for Neptune."
550,"At a birthday party, there are 3 large pizzas cut into 8 slices each. If each child eats 2 slices of pizza and there are 10 children at the party, will there be any pizza slices left? If so, how many?","def solution():
    # Total number of slices from 3 large pizzas, 8 slices each
    total_slices = 3 * 8
    # Each child eats 2 slices
    slices_per_child = 2
    # There are 10 children at the party
    number_of_children = 10
    # Total slices eaten by the children
    slices_eaten = slices_per_child * number_of_children
    # The answer is
    slices_left = total_slices - slices_eaten
    return slices_left

# Uncomment the following to test the function
# print(solution())",4,1.0,"The solution is accurate. It correctly calculates the total number of pizza slices available (3 large pizzas * 8 slices each = 24 slices), and then subtracts the total slices consumed by the children (10 children * 2 slices each = 20 slices). Therefore, 24 slices - 20 slices eaten by the children leaves 4 slices of pizza remaining."
551,"Spiderman was helping to clear the debris after a battle in the city. He found 15 large pieces of debris that each weighed the same. If the total weight of the debris was 1,200 pounds, how much did each piece of debris weigh?","def solution():
    # Total large pieces of debris
    total_pieces = 15
    # The total weight of the debris
    total_weight = 1200
    # The answer is the weight of each piece
    weight_per_piece = total_weight / total_pieces
    return weight_per_piece",80,1.0,"The solution correctly calculates the weight of each piece of debris by dividing the total weight of the debris (1,200 pounds) by the total number of pieces (15), which results in each piece weighing 80 pounds."
552,"Wonder Woman is helping to build a new superhero headquarters. She has to distribute 600 bricks equally among 4 construction sites. If she has already delivered 150 bricks to the first site, how many bricks does she need to deliver to each of the remaining three sites?","def solution():
    # Total number of bricks that need to be distributed
    total_bricks = 600
    
    # Number of construction sites
    construction_sites = 4
    
    # Bricks already delivered to the first site
    bricks_delivered_first_site = 150
    
    # Bricks left to be distributed among the remaining sites
    bricks_left = total_bricks - bricks_delivered_first_site
    
    # Number of bricks to be delivered to each of the remaining sites
    bricks_per_remaining_site = bricks_left // (construction_sites - 1)
    return bricks_per_remaining_site

# Uncomment the line below to test the function
# print(solution())",150,1.0,"The solution correctly defines the total number of bricks and subtracts the bricks already delivered to the first site to find out how many bricks are left. It then correctly computes the number of bricks to be delivered to each of the remaining sites by dividing the bricks left by the number of remaining sites (4 - 1). The end result is 450 bricks to be distributed among 3 sites, which is 150 bricks per site."
553,"Alex has collected 64 blocks of wood from the forest in Minecraft. She uses 8 blocks to make a crafting table and a chest. Each crafted item needs 4 blocks of wood. After building her crafting station, she decides to build some ladders, which require 7 sticks each. If she can make 4 sticks from one block of wood, how many ladders can she build with the remaining wood?","def solution():
    # Alex starts with 64 blocks of wood
    wood_blocks = 64

    # Crafting table and chest together need 8 blocks (4 blocks for each)
    crafting_table_blocks = 4
    chest_blocks = 4
    used_blocks = crafting_table_blocks + chest_blocks

    # Remaining blocks after building crafting table and chest
    remaining_blocks = wood_blocks - used_blocks

    # She can make 4 sticks from one block of wood
    sticks_per_block = 4
    sticks_from_remaining_blocks = remaining_blocks * sticks_per_block

    # Each ladder requires 7 sticks
    sticks_per_ladder = 7

    # The number of ladders Alex can build is the total sticks divided by sticks per ladder
    number_of_ladders = sticks_from_remaining_blocks // sticks_per_ladder

    return number_of_ladders

# Let's call the function and print the result
print(solution())",32,1.0,"The solution correctly determines that Alex uses a total of 8 blocks to make a crafting table and a chest. With the remaining 56 blocks of wood, Alex makes 4 sticks per block, resulting in 224 sticks (56 blocks * 4 sticks/block). Since each ladder requires 7 sticks, Alex can make 224 // 7 = 32 ladders with the remaining sticks, which matches the answer given."
554,"Wonder Woman is on a mission to save a group of citizens. She saves 120 citizens each day. After three days, a superhero friend helps her and triples the number of citizens they can save together. How many citizens have they saved after the fourth day?","def solution():
    # Wonder Woman saves 120 citizens each day
    citizens_saved_per_day = 120
    # Number of days she saved citizens alone
    days_saving_alone = 3
    # Wonder Woman's superhero friend helps and triples the number of citizens saved
    multiplier_with_friend = 3
    
    # Calculating the total citizens saved by Wonder Woman alone
    total_citizens_saved_alone = citizens_saved_per_day * days_saving_alone
    # Calculating the total citizens saved with her superhero friend on the fourth day
    citizens_saved_with_friend = citizens_saved_per_day * multiplier_with_friend
    
    # The answer is the sum of the citizens saved alone and the citizens saved with her friend
    result = total_citizens_saved_alone + citizens_saved_with_friend
    return result

# Calling the function to get the result
print(solution())",720,1.0,"The solution correctly calculates the number of citizens saved by Wonder Woman alone over the course of three days and then adds the number of citizens saved with the help of her friend on the fourth day, arriving at the correct total number of citizens saved."
555,"Captain America is training for an upcoming mission and decides to run laps around a 5-mile track. He completes 4 laps in the morning. In the afternoon, he decides to run 3 more laps. How many miles does Captain America run in total?","def solution():
    # One lap around the track is 5 miles
    miles_per_lap = 5
    # Captain America runs 4 laps in the morning
    morning_laps = 4
    # He runs 3 more laps in the afternoon
    afternoon_laps = 3
    # Total number of laps
    total_laps = morning_laps + afternoon_laps
    # Total miles run is the number of laps times miles per lap
    total_miles = total_laps * miles_per_lap
    return total_miles",35,1.0,"The solution correctly calculates the total number of laps Captain America runs by adding the laps from the morning to those in the afternoon. Then, it multiplies the total laps by the miles per lap to arrive at the correct total mileage."
556,"In a magical forest, a group of 25 unicorns is playing. Each unicorn has 4 horseshoes that are encrusted with 6 shiny diamonds each. How many total diamonds are there on all the unicorns' horseshoes?","def solution():
    # There are 25 unicorns in the group
    number_of_unicorns = 25
    # Each unicorn has 4 horseshoes
    horseshoes_per_unicorn = 4
    # Each horseshoe is encrusted with 6 diamonds
    diamonds_per_horseshoe = 6
    # The total number of diamonds is equal to the product of the number of unicorns,
    # the horseshoes on each unicorn, and the number of diamonds on each horseshoe
    total_diamonds = number_of_unicorns * horseshoes_per_unicorn * diamonds_per_horseshoe
    return total_diamonds",600,1.0,"The solution correctly calculates the total number of diamonds by multiplying the number of unicorns by the number of horseshoes per unicorn and then by the number of diamonds per horseshoe, resulting in the correct amount of total diamonds."
557,"Superman helps a construction crew by moving bricks. He needs to move 500 bricks from one side of the construction site to the other. If Superman can carry 50 bricks in each trip, how many trips does Superman need to make to move all the bricks?","def solution():
    # Number of bricks Superman needs to move
    total_bricks = 500
    # Number of bricks Superman can carry per trip
    bricks_per_trip = 50
    # Calculating the number of trips
    # The answer is the total bricks divided by the number of bricks per trip
    trips = total_bricks / bricks_per_trip
    return trips",10,1.0,"The solution is correct. It takes the total number of bricks Superman needs to move and divides it by the number of bricks he can carry per trip to determine how many trips he must make, which is indeed 10 trips."
558,"Superman is helping to build a new skyscraper. He can lift 10 steel beams per hour and he works for 4 hours a day. If the skyscraper needs a total of 120 steel beams, how many days will it take for Superman to finish lifting all the beams?

","def solution():
    # Superman lifts 10 steel beams per hour
    beams_per_hour = 10
    # He works 4 hours a day
    hours_per_day = 4
    # Total steel beams needed for the skyscraper
    total_beams = 120
    
    # Beams Superman can lift per day
    beams_per_day = beams_per_hour * hours_per_day
    # Number of days to lift all beams
    days_needed = total_beams // beams_per_day
    if total_beams % beams_per_day != 0:  # If there is a remainder, we need an extra day
        days_needed += 1

    return days_needed

# Now calling the function and printing the result
print(solution())",3,1.0,"The solution for this question is accurate. It correctly calculates the number of beams Superman lifts per day (10 beams/hour * 4 hours/day = 40 beams/day) and then determines how many days it would take to lift all 120 beams. Since 120 is divisible by 40, it takes exactly 3 days for Superman to finish lifting all the beams."
559,"The Wildcats cheerleading team is making a formation for their routine. They want to form 3 rows. In the first row, there are 5 cheerleaders. The second row has twice as many cheerleaders as the first row. The third row has 3 less than the second row. How many cheerleaders are in the third row?","def solution():
    # The first row has 5 cheerleaders
    first_row = 5
    # The second row has twice as many cheerleaders as the first row
    second_row = 2 * first_row
    # The third row has 3 less than the second row
    third_row = second_row - 3
    # The answer is
    result = third_row
    return result",7,1.0,"The solution correctly calculates the number of cheerleaders in the second row by doubling the number of cheerleaders in the first row, and then correctly finds the number of cheerleaders in the third row by subtracting 3 from the second row. The third row has 2 * 5 - 3 = 10 - 3 = 7 cheerleaders."
560,"Ash caught 15 Pokémon in the morning and then traded some of them to Misty. If he has 8 Pokémon left, how many Pokémon did he trade to Misty?","def solution():
    # Ash caught 15 Pokémon in the morning
    pokemon_caught = 15
    # He has 8 Pokémon left after trading some to Misty
    pokemon_left = 8
    # The answer is the number of Pokémon he traded away
    pokemon_traded = pokemon_caught - pokemon_left
    # Returning the number of Pokémon traded
    return pokemon_traded",7,1.0,The solution correctly calculates the number of Pokémon traded to Misty by subtracting the number of Pokémon Ash has left from the number of Pokémon he caught in the morning.
561,"The Ninja Turtles are planning to order pizza to celebrate their victory against the Shredder. Leonardo orders 2 pizzas, Donatello orders twice as many as Leonardo, Michelangelo orders 3 more pizzas than Donatello, and Raphael does not order any because he's on a diet. How many pizzas do the Ninja Turtles order in total?","def solution():
    # Leonardo orders 2 pizzas
    pizzas_leonardo = 2
    # Donatello orders twice as many as Leonardo
    pizzas_donatello = 2 * pizzas_leonardo
    # Michelangelo orders 3 more pizzas than Donatello
    pizzas_michelangelo = pizzas_donatello + 3
    # Raphael does not order any pizza
    pizzas_raphael = 0

    # Total pizzas ordered
    total_pizzas = pizzas_leonardo + pizzas_donatello + pizzas_michelangelo + pizzas_raphael

    return total_pizzas

# Uncomment below to test the function
# print(solution())",13,1.0,"The solution correctly calculates the individual pizza orders for Leonardo, Donatello, Michelangelo, and accounts for Raphael not ordering. Adding them up provides the correct total number of pizzas ordered."
562,Jenny baked 24 chocolate chip cookies and 36 oatmeal cookies. She decides to give 8 chocolate chip cookies and 12 oatmeal cookies to her neighbor. How many cookies does Jenny have left?,"def solution():
    # Jenny baked 24 chocolate chip cookies
    chocolate_chip_cookies = 24
    # Jenny also baked 36 oatmeal cookies
    oatmeal_cookies = 36
    # She gives away 8 chocolate chip cookies
    chocolate_chip_cookies_given = 8
    # She gives away 12 oatmeal cookies
    oatmeal_cookies_given = 12
    # Calculating the remaining cookies
    remaining_chocolate_chip_cookies = chocolate_chip_cookies - chocolate_chip_cookies_given
    remaining_oatmeal_cookies = oatmeal_cookies - oatmeal_cookies_given
    # The total number of cookies Jenny has left is
    result = remaining_chocolate_chip_cookies + remaining_oatmeal_cookies
    return result

# Uncomment the line below to test the function
# print(solution())",40,1.0,"The solution correctly calculates the remaining number of both chocolate chip and oatmeal cookies Jenny has left by subtracting the number of each type of cookie given to the neighbor. The final answer is the sum of the remaining chocolate chip and oatmeal cookies, which is correct."
563,"Barbie is planning a tea party and she wants to invite 8 of her friends. If each friend will get 3 cookies and each cookie costs $2, how much will Barbie spend on cookies for her tea party?","def solution():
    # Barbie wants to invite 8 friends
    number_of_friends = 8
    # Each friend gets 3 cookies
    cookies_per_friend = 3
    # Each cookie costs $2
    cost_per_cookie = 2
    # Total cookies needed is number of friends times cookies per friend
    total_cookies_needed = number_of_friends * cookies_per_friend
    # The answer is total cookies needed times cost per cookie
    result = total_cookies_needed * cost_per_cookie
    return result",48,1.0,"The solution correctly calculates the total number of cookies needed by multiplying the number of friends by the number of cookies per friend. Then it multiplies the total number of cookies by the cost per cookie to find the total cost for the cookies, arriving at the correct answer of $48."
564,A volleyball team has 120 volleyballs. 45 of them are in the gym. 31 of them are in the locker room. The rest are in the equipment room. How many volleyballs are in the equipment room?,"def solution():
    #The volleyball team has 120 volleyballs
    volleyballs_total = 120
    #45 of them are in the gym
    volleyballs_gym = 45
    #31 of them are in the locker room
    volleyballs_locker_room = 31
    #The rest are in the equipment room
    volleyballs_equipment_room = volleyballs_total - volleyballs_gym - volleyballs_locker_room
    #The answer is
    result = volleyballs_equipment_room
    return result",44,1.0,"The solution correctly subtracts the number of volleyballs in the gym and in the locker room from the total number of volleyballs, yielding the correct number of volleyballs in the equipment room."
565,"A volleyball team has 12 members. 

4 of them are setters, 

5 of them are hitters, 

and the rest are liberos. 

How many liberos are on the team?","def solution():
    # total members
    total_members = 12
    # setters
    setters = 4
    # hitters
    hitters = 5
    # liberos
    liberos = total_members - setters - hitters
    return liberos",3,1.0,The solution correctly calculates the number of liberos by subtracting the sum of the number of setters and hitters from the total number of members on the volleyball team.
566,"A volleyball team has 12 players. 4 of the players are 6'2"" tall, 3 of the players are 6'4"" tall, and the rest of the players are 6'6"" tall. How tall, on average, is the volleyball team in inches?","def solution():
    #Total players
    total_players = 12
    #Players who are 6'2""
    players_6_2 = 4
    #Players who are 6'4""
    players_6_4 = 3
    #Players who are 6'6""
    players_6_6 = total_players - players_6_2 - players_6_4
    #Average height in inches
    result = (players_6_2 * 74) + (players_6_4 * 76) + (players_6_6 * 78) / total_players
    return result",556.5,0.0,"The calculation approach is correct, but the implementation is incorrect. The average height is improperly computed because the parentheses are missing which would ensure the sum of the individual group heights is divided by the total number of players to get the correct average. The last term is being divided by the number of players, rather than the sum of all the terms, leading to an incorrect result. Correct calculation should involve adding the total inches of all players first and then dividing by the number of players."
