,question_number,question,answer
1657,question1657,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1658,question1658,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A box of bleach weighs 10 ounces.  A bottle of fabric softener weighs 12 ounces.  A 20-pound bag of kitty litter weighs 320 ounces.  What is the total weight, in ounces, of a cake of soap, a box of soap powder, a bottle of detergent, a box of bleach, a bottle of fabric softener, and a 20-pound bag of kitty litter?",382
1659,question1659,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1660,question1660,A bakery has 100 muffins. They sell 20 muffins in the morning and 30 muffins in the afternoon. How many muffins do they have left?,50
1661,question1661,A bakery has 12 cakes. The bakery sells 4 cakes in the morning and 8 cakes in the afternoon. How many cakes does the bakery have left?,0
1662,question1662,"A 20-ounce soda has 10 ounces of sugar. A 12-ounce soda has 6 ounces of sugar. How much sugar, in ounces, is there in a 16-ounce soda?",8.0
1663,question1663,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1664,question1664,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1665,question1665,A 10-pound sack of flour makes 20 loaves of bread. How many sacks of flour are needed to make 120 loaves of bread?,6.0
1666,question1666,A 20-ounce soda has 150 calories. A 40-ounce soda has 300 calories. How many more calories are in the 40-ounce soda than in the 20-ounce soda?,150
1667,question1667,A 20-ounce soda has 6046963 calories. A 12-ounce soda has 1/3 the calories of a 20-ounce soda. How many calories are in a 12-ounce soda?,2015654.3333333333
1668,question1668,A 10-pound bag of flour makes 24 loaves of bread. How many bags of flour are needed to make 144 loaves of bread?,60.0
1669,question1669,A candy store sells 10000000 chocolate bars a day. They cost $2 each. How much money does the candy store make in a week?,140000000
1670,question1670,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1671,question1671,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 32 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,24
1672,question1672,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much would you save by buying 24 cans of soda at a time?,2
1673,question1673,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1674,question1674,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1675,question1675,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1676,question1676,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,4.166666666666667
1677,question1677,A bakery has 100 baguettes. They bake 50 more baguettes in the morning and 50 more in the afternoon. How many baguettes do they have at the end of the day?,200
1678,question1678,A 24-pack of soda costs $18. A 12-pack of soda costs $12. How much would you save by buying the 24-pack of soda instead of 2 12-packs?,6
1679,question1679,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1680,question1680,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1681,question1681,A 1-liter bottle of soda has 4 cups of soda. A 2-liter bottle of soda has 8 cups of soda. How many more cups of soda are in the 2-liter bottle than in the 1-liter bottle?,4
1682,question1682,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1683,question1683,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much money can you save by buying a 24-pack of soda instead of 2 12-packs?,2
1684,question1684,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1685,question1685,A 10-pound sack of apples has 120 apples. How many apples are in a 20-pound sack?,240
1686,question1686,A 10-pound bag of carrots has 42 carrots. How many carrots are in a 20-pound bag?,84
1687,question1687,A bakery has 100 loaves of bread. The bakery sells 20 loaves of bread in the morning and 30 loaves of bread in the afternoon. How many loaves of bread does the bakery have left?,50
1688,question1688,A 2-liter bottle of soda has 8 cups of soda. A 12-liter bottle of soda has 48 cups of soda. How many more cups of soda are in the 12-liter bottle than in the 2-liter bottle?,40
1689,question1689,A 20-pound box of oranges costs $24. A 20-pound box of apples costs $30. How much more expensive are apples than oranges per pound?,0.30000000000000004
1690,question1690,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1691,question1691,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1692,question1692,A bakery sells 100000000 loaves of bread and 20000000 baguettes every day. How many loaves of bread and baguettes does it sell every 3 days?,30000000
1693,question1693,A 10-pound bag of carrots has 120 carrots. How many carrots are in a 25-pound bag?,300.0
1694,question1694,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying 24 cans of soda at a time instead of 12?,2
1695,question1695,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1696,question1696,A bakery has 1200 calories in each cake. A calorie-conscious customer buys one cake and eats 200 calories a day. How many days will it take for the customer to finish the cake?,6.0
1697,question1697,"A bakery has 100 muffins. On Tuesday, they sell 23 muffins. On Wednesday, they sell 28 muffins. How many muffins do they have left?",100
1698,question1698,A bakery has 100 muffins. They sell 20 muffins in the morning and 30 muffins in the afternoon. How many muffins do they have left?,50
1699,question1699,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1700,question1700,A 12-pack of soda costs $4. A 24-pack of soda costs $6. How much would you save by buying a 24-pack of soda instead of 2 12-packs?,2
1701,question1701,A bakery has 120 cakes. The bakery sells 20 cakes in the morning and 30 cakes in the afternoon. How many cakes does the bakery have left?,70
1702,question1702,A 2-liter bottle of soda has 8 servings. A 12-liter bottle of soda has 32 servings. How many more servings does the 12-liter bottle have than the 2-liter bottle?,24
1703,question1703,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A 20-pound sack of laundry will wash 20 loads of laundry.  How many ounces of laundry products will you need to wash 40 loads of laundry?,100.0
1704,question1704,"A candy store has 1000s of M&Ms. It also has 1000s of Skittles. If the candy store has 2000 candies total, and each M&M has 4 Skittles, how many M&Ms are there?",500.0
1705,question1705,"A bakery has 1200 calories in each cake. A calorie-conscious customer buys 2 slices of cake, each with 1/6 of the total calories. How many calories did the customer consume?",400.0
1706,question1706,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1707,question1707,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1708,question1708,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
1709,question1709,A 2-liter bottle of soda has 8 cups of soda. A 12-ounce can of soda has 1.5 cups of soda. How many 12-ounce cans of soda are in a 2-liter bottle of soda?,5.333333333333333
1710,question1710,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A customer at the laundromat has 2 cakes of soap, 3 boxes of soap powder, and 1 bottle of detergent.  How much does the customer's laundry soap weigh?",76
1711,question1711,A bakery has 100 muffins. They sell 20 muffins in the morning and 30 muffins in the afternoon. How many muffins do they have left?,50
1712,question1712,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1713,question1713,A bakery has 12 cakes. The bakery sells 4 cakes in the morning and 8 cakes in the afternoon. How many cakes does the bakery have left?,0
1714,question1714,A bakery has 12 cakes. The bakery sells 3 cakes in the morning and 4 cakes in the afternoon. How many cakes does the bakery have left?,5
1715,question1715,A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A bottle of bleach weighs 10 ounces.  A bottle of fabric softener weighs 12 ounces.  A 25-pound bag of laundry detergent weighs 25 pounds.  How much do all the cleaning supplies weigh?,87
1716,question1716,A 12-liter bottle of soda has 48 cups of soda. A 2-liter bottle of soda has 8 cups of soda. How many 2-liter bottles of soda are in a 12-liter bottle of soda?,6.0
1717,question1717,A bakery has 12 cakes. The bakery sells 3 cakes in the morning and 5 cakes in the afternoon. How many cakes does the bakery have left?,4
1718,question1718,A pizzeria has 120 slices of pizza. The pizzeria sells 30 slices in the morning and 40 slices in the afternoon. How many slices of pizza does the pizzeria have left?,50
1719,question1719,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1720,question1720,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A laundromat wash machine can hold 200 ounces of laundry.  How many wash cycles will it take to wash 12 cakes of soap, 8 boxes of soap powder, and 15 bottles of detergent?",2.38
1721,question1721,A bakery has 100 loaves of bread. The bakery sells 20 loaves of bread in the morning and 30 loaves of bread in the afternoon. How many loaves of bread does the bakery have left?,50
1722,question1722,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1723,question1723,A 10-foot by 10-foot room has 80 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,0.555555555555555
1724,question1724,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
1725,question1725,A 12-pack of soda costs $4. A 24-pack of soda costs $7. How much money do you save by buying a 24-pack of soda instead of 2 12-packs?,3
1726,question1726,A bakery has 12 cakes. The bakery sells 4 cakes in the morning and 8 cakes in the afternoon. How many cakes does the bakery have left?,0
1727,question1727,A 10-pound sack of apples has 40 apples. How many 10-pound sacks of apples does it take to fill a 200-pound barrel of apples?,5.0
1728,question1728,A 12-ounce soda has 2.5 ounces of sugar. How much sugar is in a 20-ounce soda?,5
1729,question1729,A bakery has 1200 ovens. Each oven can bake 100 loaves of bread. The bakery is running at 75% capacity. How many loaves of bread can the bakery bake in a day?,90000.0
1730,question1730,"A cake of soap weighs 4 ounces.  A box of soap powder weighs 16 ounces.  A bottle of detergent weighs 20 ounces.  A tote bag can hold 100 ounces of laundry supplies.  How many tote bags are needed to carry 12 cakes of soap, 3 boxes of soap powder, and 4 bottles of detergent?",1.76
1731,question1731,A 10-pound bag of carrots has 40 carrots. How many carrots are in a 25-pound bag?,100.0
